Country Code,Gdp-CO2,Ginindex-CO2,Lawindex-CO2,Politicalstab-CO2,Gdp-Ginindex,Gdp-Lawindex,Gdp-Politicalstab,Ginindex-Lawindex,Ginindex-Politicalstab,Politicalstab-Lawindex
IRL,0.278,0.529,0.231,0.809,-0.503,-0.268,0.249,0.422,0.367,0.096
IRN,0.167,-0.583,0.424,-0.355,-0.665,-0.138,-0.011,-0.029,0.169,0.148
IRQ,0.145,0.869,-0.119,0.058,0.390,0.628,0.519,0.240,0.465,0.541
ISL,0.068,0.678,0.629,0.09,0.359,0.310,0.542,0.558,0.042,0.389
ISR,-0.462,0.53,0.027,-0.043,-0.130,-0.185,-0.440,-0.567,-0.671,0.454
ITA,0.047,-0.716,0.814,0.183,-0.358,-0.074,0.469,-0.400,-0.275,0.134
JAM,0.068,0.316,-0.63,-0.658,-0.334,0.028,0.034,-0.265,-0.264,0.814
JOR,0.507,-0.581,0.349,-0.474,-0.156,0.248,-0.511,-0.291,0.284,-0.261
JPN,0.122,-0.099,-0.355,-0.335,-0.550,-0.275,-0.163,-0.163,-0.196,0.671
KAZ,0.685,-0.706,0.572,-0.335,-0.382,0.089,-0.224,-0.705,0.327,-0.542
KEN,-0.16,-0.957,0.901,0.528,0.013,-0.049,0.201,-0.842,-0.593,0.558
KGZ,0.126,-0.702,0.156,0.588,-0.158,-0.247,0.029,-0.316,-0.542,0.191
KIR,-0.351,-0.179,0.32,-0.259,0.028,-0.400,0.076,-0.251,0.636,0.163
KOR,0.194,-0.674,0.569,-0.243,-0.372,0.047,0.021,-0.471,0.145,0.456
LAO,0.151,0.898,0.553,0.779,0.051,-0.061,0.034,0.812,0.878,0.847
LBN,0.938,,0.283,-0.523,,0.303,-0.586,,,-0.696
LBR,0.365,-0.337,0.325,0.705,-0.747,0.632,0.192,-0.702,-0.332,0.143
LCA,0.42,,-0.268,0.571,,-0.115,0.294,,,-0.488
LKA,0.077,-0.197,-0.228,0.784,0.144,-0.336,0.422,0.636,0.098,-0.176
LSO,0.562,-0.595,-0.497,0.154,-0.126,-0.121,0.374,0.757,0.398,0.311
LTU,0.427,-0.59,-0.678,0.051,-0.347,-0.073,-0.145,0.335,-0.005,0.018
LUX,0.281,-0.584,0.27,0.504,-0.065,0.100,-0.017,-0.456,-0.461,0.345
LVA,0.282,0.324,-0.552,0.078,0.293,0.187,-0.389,-0.575,0.299,-0.466
MAR,0.065,-0.897,0.531,0.659,-0.195,-0.100,-0.321,-0.561,-0.601,0.664
MDA,-0.009,-0.482,0.209,-0.371,0.053,0.500,0.323,-0.342,0.168,-0.039
MDG,0.088,0.731,-0.684,-0.149,0.413,-0.296,-0.548,-0.908,-0.700,0.659
MDV,0.222,-0.952,-0.568,-0.275,-0.046,-0.073,0.052,0.504,0.166,0.519
MEX,0.51,0.219,0.178,-0.484,0.164,-0.080,-0.402,0.788,0.557,0.562
MHL,-0.125,,-0.849,0.878,,0.407,-0.532,,,-0.779
MKD,0.184,0.811,-0.418,-0.675,0.078,0.302,0.195,-0.333,-0.629,0.739
MLI,-0.026,0.144,-0.956,-0.918,-0.468,0.035,-0.063,-0.030,0.016,0.962
MLT,0.14,-0.482,0.897,0.475,0.250,0.083,0.127,-0.670,-0.694,0.741
MMR,0.335,-0.967,-0.265,-0.582,-0.335,0.460,0.319,0.099,0.457,0.928
MNE,0.157,-0.598,0.206,-0.564,-0.044,0.221,0.151,0.090,0.912,0.159
MNG,0.091,-0.618,-0.554,-0.379,-0.133,-0.160,-0.335,0.002,-0.190,0.698
MOZ,-0.189,0.764,-0.918,-0.922,0.275,0.378,0.351,-0.625,-0.641,0.958
MRT,-0.108,-0.804,0.544,-0.198,-0.168,-0.564,-0.487,-0.104,0.577,0.400
MUS,0.635,0.272,-0.568,0.271,0.520,-0.106,0.198,0.536,0.171,-0.133
MWI,0.017,-0.62,-0.601,-0.806,0.104,0.496,0.131,0.163,0.301,0.620
MYS,0.171,-0.938,0.352,-0.501,-0.127,-0.344,-0.352,-0.403,0.410,0.243
NAM,0.176,-0.978,0.596,-0.304,-0.228,-0.101,0.517,-0.610,0.204,0.028
NER,0.003,-0.33,0.121,-0.87,-0.376,0.275,-0.217,-0.306,0.368,-0.303
NGA,-0.051,-0.446,0.424,0.11,-0.342,0.078,-0.640,-0.830,0.529,-0.375
NIC,0.51,0.057,0.089,0.054,-0.051,0.528,0.684,0.023,0.012,0.653
NLD,-0.157,0.78,0.361,0.382,-0.201,-0.187,-0.071,0.245,0.111,0.572
NOR,0.191,-0.397,0.458,0.281,-0.555,-0.197,0.137,0.098,-0.262,0.301
NPL,0.11,-0.623,0.599,0.953,0.190,0.247,0.006,-0.057,-0.746,0.563
NRU,-0.486,,-0.445,0.226,,0.569,-0.217,,,0.383
PAK,0.174,-0.178,0.821,0.072,0.289,-0.100,-0.334,-0.248,0.389,0.178
PAN,0.101,-0.902,-0.053,0.295,-0.007,0.258,0.446,0.070,-0.366,0.090
PER,0.415,-0.9,0.569,0.778,-0.227,-0.073,-0.073,-0.533,-0.762,0.557
PHL,-0.057,-0.955,-0.281,0.747,0.243,0.308,0.120,0.418,-0.714,0.095
PNG,-0.145,,0.226,0.161,,0.180,0.523,,,0.174
POL,0.08,0.485,-0.109,0.133,-0.097,0.204,0.603,0.175,0.021,0.814
PRT,-0.064,0.733,0.161,0.237,-0.187,-0.607,-0.490,0.256,0.044,0.628
PRY,-0.073,-0.837,0.905,0.862,0.109,0.040,-0.151,-0.897,-0.743,0.857
ROU,0.242,0.787,-0.88,-0.373,-0.128,-0.167,0.335,-0.789,-0.579,0.355
RUS,0.495,0.278,0.021,0.305,0.529,0.055,0.109,-0.130,-0.402,0.226
RWA,-0.225,-0.824,0.855,0.779,-0.092,0.039,0.047,-0.983,-0.920,0.914
SDN,0.205,-0.749,0.574,0.787,-0.270,-0.009,-0.134,-0.614,-0.784,0.777
SEN,-0.125,-0.793,-0.016,0.564,0.136,-0.561,-0.096,-0.259,-0.518,0.294
SLB,0.681,0.104,-0.513,-0.345,-0.389,0.119,0.049,-0.746,-0.744,0.598
SLE,0.337,-0.59,0.77,0.545,-0.445,0.119,0.185,-0.835,-0.750,0.784
SLV,0.002,-0.151,-0.177,-0.172,0.067,0.100,0.076,0.670,0.443,0.323
