Country Code,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,,,,,,0.915526807,0.847438395,0.810431302,0.826464057,0.847226143,1.426206708,1.416113615,1.322458386,1.309788346,1.292504787,1.036310434,1.226623058,1.226442099,1.294831514,1.259411931,1.227761626,1.270262361,1.247303724,1.278907537
AFG,-1.788075447,-1.734886765,-1.780660748,-1.673473239,-1.5582937,-1.693925261,-1.662965536,-1.879004836,-1.852560043,-1.903307557,-1.876118779,-1.87005806,-1.922500134,-1.651893139,-1.609111547,-1.437044501,-1.515202641,-1.520713925,-1.583736897,-1.688586712,-1.741318822,-1.831374288,-1.87635684,-1.658442259
AGO,-1.630469322,-1.527338624,-1.601501703,-1.633343816,-1.482855916,-1.520916343,-1.464794993,-1.31127274,-1.375133514,-1.378563881,-1.236289263,-1.272953272,-1.277053237,-1.304776907,-1.290795803,-1.074789524,-1.030846119,-1.0038656,-1.039731503,-1.000932217,-1.025190949,-0.950999379,-0.984480023,-1.021904588
ALB,-0.6844818,-0.929671705,-1.020667672,-0.762321413,-0.716323495,-0.701032341,-0.763833165,-0.703135848,-0.661545992,-0.600079298,-0.494370162,-0.385760486,-0.442926466,-0.519839764,-0.518606007,-0.310979843,-0.318997443,-0.32136485,-0.412762374,-0.414187849,-0.425378829,-0.376249194,-0.280372351,-0.165779099
AND,1.158362508,1.177253962,1.286165476,1.223840594,1.055983305,1.194324493,0.966194272,0.85568583,1.168245077,1.186387658,1.21778512,1.197924614,1.399273753,1.401187778,1.401491046,1.638325453,1.512989044,1.513311863,1.534928083,1.536625862,1.510484815,1.61627841,1.64212966,1.48544991
ARE,0.688413978,0.716092944,0.655752897,0.702703297,0.544806302,0.433262318,0.389575779,0.311535925,0.274766088,0.417219996,0.39927873,0.317414135,0.498547107,0.534359634,0.613574982,0.651266217,0.614114046,0.819180787,0.767983139,0.77433306,0.80805707,0.876260638,0.799450576,0.836642742
ARG,0.075552642,-0.038881578,-0.214404494,-0.761098087,-0.777115822,-0.767380178,-0.557991087,-0.577015638,-0.601472259,-0.699731648,-0.694468081,-0.598094225,-0.563123286,-0.623034239,-0.656233191,-0.866434515,-0.748842359,-0.320517689,-0.238357037,-0.219662562,-0.427303702,-0.487334788,-0.476669818,-0.480682313
ARM,-0.469098508,-0.380856782,-0.501016259,-0.438531369,-0.302864641,-0.481950611,-0.388776749,-0.544567347,-0.496518046,-0.337751359,-0.468710691,-0.48135832,-0.437706411,-0.418281972,-0.340971231,-0.417796254,-0.463257581,-0.160720766,-0.209941223,-0.19733353,-0.177528098,-0.125852257,-0.119232148,-0.168567225
ASM,0.2908732,0.336353168,0.26694363349999994,0.298010424,0.36754252,0.83959645,1.109415412,1.069221497,1.090919852,1.117979527,1.125054717,1.1112082,1.090952396,1.09636724,1.101331592,1.407080054,1.28536284,1.27953577,1.294769168,1.296713471,1.268459797,1.119430304,1.138901711,1.221117854
ATG,1.050844908,1.053563118,1.034903526,1.034552217,1.037949681,0.908433735,0.659244239,0.921211839,0.893503189,0.937939405,0.972667456,0.952869892,0.942094743,0.945719004,0.831776917,-0.175930172,0.553204715,0.473494411,0.406978101,0.376565635,0.363741606,0.407973528,0.303531021,0.391315579
AUS,1.713399053,1.756802797,1.722066879,1.767046571,1.842772126,1.795392394,1.71280241,1.756738544,1.743887424,1.759083509,1.733008742,1.757718325,1.733153701,1.759779572,1.77010262,1.918719649,1.790478706,1.716897726,1.64458847,1.67455554,1.694471836,1.614245057,1.639288187,1.510085225
AUT,1.808153033,1.803287983,1.81233263,1.85791266,1.847917438,1.816664338,1.847249508,1.899768829,1.941825628,1.910698891,1.777442694,1.801202655,1.79896307,1.857123733,1.834038258,1.938500404,1.814850807,1.761596799,1.799017429,1.853449583,1.862250328,1.770163417,1.752518773,1.705850244
AZE,-1.201161504,-1.121610641,-1.145636201,-0.964197218,-0.884644747,-0.900518477,-0.792612433,-0.885929227,-0.88002038,-0.836160481,-0.879176021,-0.891145051,-0.938726485,-0.879532695,-0.756104469,-0.696949005,-0.717284381,-0.53890878,-0.584700108,-0.619775176,-0.610212207,-0.730720103,-0.606355965,-0.624645591
